target,source,dice,mse
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/source_masks/source_mask_4.jpg,0.8721053923574176,0.09595130102231417
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/source_masks/source_mask_8.jpg,0.7951874132346136,0.08459025308253786
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/source_masks/source_mask_10.jpg,0.8671432550366726,0.08455338502554714
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_8/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_8/source_masks/source_mask_3.jpg,0.8731446665347319,0.08089128425510508
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_10/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_10/source_masks/source_mask_9.jpg,0.7576625608708106,0.05709021934969086
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/source_masks/source_mask_3.jpg,0.9037933817594834,0.09592462686410592
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_0/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_0/source_masks/source_mask_8.jpg,0.880184331797235,0.0720722871723278
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_19.jpg,0.8667575217528043,0.07540308015205285
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_15/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_15/source_masks/source_mask_5.jpg,0.9137144099108889,0.10765821999934078
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/source_masks/source_mask_16.jpg,0.8932510230977319,0.11098516691936386
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/source_masks/source_mask_7.jpg,0.848474689909487,0.09355924752463213
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_8/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_8/source_masks/source_mask_1.jpg,0.8857002457002457,0.0808795251042774
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_1/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_1/source_masks/source_mask_19.jpg,0.9002608148214768,0.08714920143106104
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_11/source_masks/source_mask_11.jpg,0.9027021676729684,0.0787560503769576
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_6/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_6/source_masks/source_mask_17.jpg,0.8842337375964718,0.08573702957433291
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/source_masks/source_mask_13.jpg,0.8745899036935125,0.07408300860808154
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_19/source_masks/source_mask_15.jpg,0.8914249816773113,0.0740688817899047
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_5/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_5/source_masks/source_mask_15.jpg,0.8363565437877901,0.08009386906380099
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/source_masks/source_mask_19.jpg,0.8995065789473684,0.0937953550362958
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_10/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_10/source_masks/source_mask_5.jpg,0.8416450334745184,0.05704117713611576
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_12/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_12/source_masks/source_mask_3.jpg,0.8908780046263703,0.07842256823100194
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_17/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_17/source_masks/source_mask_4.jpg,0.9010307397610143,0.08445930511647136
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/source_masks/source_mask_1.jpg,0.9113248613353928,0.11098581825612547
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_6/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_6/source_masks/source_mask_2.jpg,0.8784706417842513,0.08573886893927418
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_2/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_2/source_masks/source_mask_8.jpg,0.9096521429419446,0.06522937444207032
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_4.jpg,0.854702657106706,0.07541043887453958
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_0/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_0/source_masks/source_mask_17.jpg,0.8691825283309494,0.0720768339459913
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_5/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_5/source_masks/source_mask_4.jpg,0.8446440777267845,0.08009319292758464
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_7/source_masks/source_mask_17.jpg,0.8506391752577319,0.09382124517081193
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_18/source_masks/source_mask_17.jpg,0.8438411078717201,0.0845544432832996
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/source_masks/source_mask_1.jpg,0.8627584446524291,0.09356354640591574
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_15.jpg,0.8748058403230817,0.07538987233223132
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_13/source_masks/source_mask_1.jpg,0.8392828035859821,0.09597359281223687
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_12/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_12/source_masks/source_mask_10.jpg,0.8897975466241149,0.07841555130922971
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_2/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_2/source_masks/source_mask_16.jpg,0.9187154452417363,0.06522024091457908
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/source_masks/source_mask_10.jpg,0.9157319125070107,0.11098005180567008
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_1.jpg,0.8550352790250161,0.07541633266581742
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_4/source_masks/source_mask_2.jpg,0.9092276830491475,0.09352094545412395
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_9/source_masks/source_mask_6.jpg,0.8880511048277306,0.07539064987388178
/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/target_mask.jpg,/Users/nastya/Documents/ucu/thesis/data/drive_data/pairs_3/source_masks/source_mask_19.jpg,0.8602936011800238,0.1110201192542595
